rr(msec)	Ext(mmHgÿÿÿÿÿÿÿÿÿÿÿ)
 944	 113
 944	 1
 848	 1
 743	 1
 675	 1
 664	 1
 715	 1
 800	 1
 898	 1
 996	 1
 1021	 1
 973	 1
 863	 1
 753	 1
 663	 1
 597	 1
 577	 1
 641	 1
 774	 1
 903	 1
 974	 1
 995	 1
 1013	 1
 1017	 1
 1010	 1
 994	 1
 979	 1
 968	 1
 960	 1
 955	 1
 938	 1
 888	 1
 805	 1
 700	 631
 670	 90
 773	 659
 957	 73
 1054	 676
 1006	 48
 863	 74
 721	 8
 664	 1
 758	 1
 944	 1
 1071	 1
 1074	 1
 1013	 1
 952	 1
 907	 1
 881	 1
 873	 1
 874	 1
 892	 1
 928	 1
 975	 1
 1011	 1
 1032	 1
 1039	 1
 1043	 1
 1036	 1
 1011	 1
 968	 1
 921	 1
 876	 1
 837	 1
 805	 1
 778	 1
 771	 1
 786	 1
 815	 1
 806	 1
 757	 1
 673	 1
 649	 1
 710	 1
 838	 1
 952	 1
 1026	 1
 1078	 1
 1117	 1
 1135	 1
 1132	 1
 1121	 1
 1109	 1
 1088	 1
 1056	 1
 1015	 1
 973	 1
 927	 1
 873	 1
 812	 1
 748	 1
 700	 1
 671	 1
 659	 1
 653	 1
 650	 1
 639	 1
 611	 1
 568	 1
 644	 1
 846	 1
 1033	 1
 1077	 1
 976	 1
 870	 1
 786	 1
 803	 1
 921	 1
 1062	 1
 1092	 1
 1012	 1
 875	 1
 738	 647
 627	 95
 555	 670
 535	 79
 553	 687
 589	 55
 619	 69
 632	 7
 698	 1
 846	 1
 1043	 1
 1140	 1
 1124	 1
 1028	 1
 931	 1
 846	 1
 797	 1
 786	 1
 796	 1
 778	 643
 734	 23
 668	 276
 672	 466
 748	 104
 868	 653
 936	 92
 951	 38
 942	 2
 910	 1
 843	 1
 742	 1
 631	 1
 613	 1
 690	 1
 780	 1
 779	 1
 685	 1
 617	 1
 644	 1
 749	 1
 854	 1
 897	 1
 898	 1
 914	 1
 951	 1
 1009	 1
 1072	 1
 1121	 1
 1156	 1
 1178	 1
 1200	 1
 1221	 1
 1243	 1
 1263	 1
 1284	 1
 1304	 1
 1309	 1
 1290	 1
 1249	 1
 1199	 1
 1150	 1
 1114	 1
 1124	 1
 1179	 1
 1264	 1
 1348	 1
 1384	 1
 1373	 1
 1318	 1
 1262	 1
 1207	 1
 1152	 1
 1100	 1
 1051	 1
 1002	 1
 954	 1
 929	 1
 931	 1
 959	 1
 990	 1
 1012	 1
 1027	 1
 1035	 1
 1044	 1
 1061	 1
 1086	 1
 1118	 1
 1149	 1
 1166	 1
 1167	 1
 1154	 1
 1140	 1
 1117	 1
 1059	 1
 965	 1
 846	 1
 726	 1
 687	 1
 750	 1
 869	 1
 909	 1
 849	 1
 734	 1
 653	 1
 662	 633
 749	 68
 843	 683
 887	 47
 893	 700
 928	 24
 1009	 94
 1137	 16
 1276	 1
 1350	 1
 1358	 1
 1306	 1
 1253	 1
 1200	 1
 1138	 1
 1051	 1
 939	 1
 812	 1
 685	 1
 597	 1
 552	 628
 548	 101
 543	 647
 546	 87
 570	 659
 626	 65
 715	 60
 828	 5
 952	 1
 1072	 1
 1187	 1
 1302	 1
 1379	 1
 1413	 1
 1404	 1
 1390	 1
 1376	 1
 1359	 1
 1324	 1
 1272	 1
 1204	 1
 1135	 1
 1067	 1
 1050	 1
 1103	 1
 1225	 1
 1365	 1
 1461	 1
 1504	 1
 1492	 1
 1471	 1
 1449	 1
 1427	 1
 1407	 1
 1387	 1
 1369	 1
 1352	 1
 1334	 1
 1316	 1
 1296	 1
 1275	 1
 1252	 1
 1229	 1
 1207	 1
 1168	 1
 1111	 1
 1036	 1
 959	 1
 886	 1
 845	 1
 834	 1
 849	 1
 839	 1
 799	 1
 730	 1
 675	 1
 666	 1
 701	 1
 724	 1
 707	 1
 649	 1
 604	 1
 578	 1
 623	 1
 767	 1
 971	 1
 1082	 1
 1057	 1
 934	 1
 811	 1
 755	 1
 859	 1
 1124	 1
 1350	 1
 1437	 1
 1385	 1
 1326	 1
 1267	 1
 1208	 1
 1134	 1
 1046	 637
 942	 101
 838	 654
 754	 88
 728	 667
 759	 66
 819	 60
 865	 5
 899	 1
 935	 1
 995	 1
 1079	 1
 1179	 1
 1239	 1
 1213	 1
 1104	 1
 951	 1
 798	 1
 653	 1
 559	 1
 517	 1
 517	 1
