rr(nc)	Ext(nc)	R1(nc)	R2(nc)	D1(nc)	D2(nc)	Superfinger(nc)	Deriv(nc)	Acc2-x(nc)	Acc1-x(nc)	Acc1-y(nc)	Acc1-z(nc)	check(nc)
 400	 400	 400	 400	 400	 400	 400	 400	 400	 400	 400	 400	 400
 2039	 2039	 4089	 4075	 3059	 1876	 1077	 1048	 43	 1457	 1	 1687	 2037
 2039	 2042	 4088	 4082	 3062	 1875	 1078	 1047	 45	 2356	 1	 1689	 2036
 2041	 2042	 4088	 4082	 3062	 1875	 1078	 1047	 45	 2356	 1	 1689	 2036
 2044	 2042	 4088	 4082	 3062	 1875	 1078	 1047	 45	 2356	 1	 1689	 2036
 2039	 1532	 3488	 3570	 2808	 1918	 1831	 1805	 800	 2429	 270	 1530	 1540
 2357	 1022	 2889	 3059	 2553	 1960	 2584	 2565	 1555	 2352	 539	 1369	 1043
 1798	 511	 2288	 2548	 2298	 2002	 3337	 3324	 2308	 2113	 808	 1207	 546
 1321	 1	 1690	 2037	 2043	 2044	 4089	 4083	 3061	 1873	 1076	 1046	 50
 1571	 1	 1690	 2037	 2042	 2043	 4090	 4083	 3062	 1874	 1076	 1045	 51
 2289	 1	 1690	 2037	 2043	 2043	 4092	 4082	 3062	 1875	 1076	 1046	 52
 2792	 1	 1690	 2037	 2041	 2042	 4091	 4080	 3063	 1876	 1078	 1047	 53
 2891	 1	 1690	 2036	 2041	 2042	 4092	 4080	 3062	 1877	 1079	 1048	 54
 2348	 1	 1690	 2036	 2041	 2042	 4091	 4079	 3061	 1876	 1079	 1048	 55
 1861	 1	 1689	 2036	 2040	 2041	 4090	 4080	 3060	 1875	 1078	 1047	 56
 1653	 1	 1689	 2035	 2040	 2041	 4090	 4080	 3060	 1876	 1077	 1047	 57
 1976	 1	 1689	 2036	 2041	 2042	 4090	 4080	 3061	 1876	 1078	 1047	 58
 2487	 1	 1690	 2036	 2041	 2043	 4090	 4081	 3063	 1877	 1078	 1047	 59
 2748	 1	 1690	 2036	 2042	 2044	 4090	 4082	 3064	 1879	 1079	 1047	 60
 2503	 1	 1691	 2037	 2042	 2044	 4090	 4081	 3062	 1878	 1078	 1047	 61
 2009	 1	 1692	 2037	 2042	 2043	 4091	 4083	 3062	 1877	 1077	 1047	 62
 1369	 1	 1692	 2037	 2043	 2043	 4090	 4082	 3060	 1875	 1075	 1045	 63
 1307	 1	 1692	 2037	 2042	 2043	 4090	 4081	 3061	 1874	 1074	 1045	 64
 1862	 1	 1693	 2037	 2041	 2043	 4092	 4082	 3062	 1875	 1075	 1045	 65
 2551	 1	 1694	 2037	 2041	 2042	 4090	 4081	 3063	 1876	 1077	 1046	 66
 2720	 1	 1694	 2037	 2040	 2042	 4092	 4083	 3065	 1877	 1078	 1047	 67
 2304	 1	 1692	 2037	 2041	 2043	 4092	 4083	 3065	 1878	 1079	 1047	 68
 1750	 1	 1686	 2038	 2041	 2045	 4091	 4083	 3063	 1877	 1078	 1047	 69
 1437	 1	 1672	 2038	 2042	 2047	 4092	 4083	 3063	 1876	 1077	 1047	 70
 1569	 1	 1656	 2038	 2042	 2048	 4092	 4082	 3063	 1876	 1076	 1046	 71
 2109	 1	 1629	 2038	 2042	 2047	 4092	 4080	 3064	 1876	 1077	 1047	 72
 2645	 1	 1600	 2038	 2041	 2046	 4093	 4080	 3065	 1877	 1078	 1047	 73
 2828	 1	 1585	 2038	 2040	 2045	 4092	 4079	 3065	 1877	 1079	 1047	 74
 2429	 1	 1570	 2038	 2040	 2045	 4092	 4082	 3065	 1877	 1079	 1047	 75
 1787	 1	 1566	 2038	 2040	 2043	 4091	 4082	 3062	 1877	 1079	 1046	 76
 1600	 1	 1571	 2038	 2040	 2044	 4091	 4083	 3063	 1876	 1079	 1046	 77
 1994	 1	 1572	 2039	 2040	 2044	 4092	 4083	 3063	 1876	 1079	 1046	 78
 2596	 1	 1570	 2039	 2039	 2043	 4090	 4081	 3063	 1877	 1080	 1047	 79
 2796	 1	 1561	 2039	 2040	 2043	 4090	 4081	 3065	 1878	 1080	 1047	 80
 2641	 1	 1558	 2039	 2039	 2042	 4090	 4081	 3063	 1878	 1079	 1047	 81
 2123	 1	 1560	 2039	 2040	 2041	 4091	 4082	 3063	 1878	 1079	 1047	 82
 1460	 1	 1574	 2038	 2040	 2039	 4091	 4082	 3061	 1877	 1078	 1047	 83
 1521	 1	 1602	 2038	 2040	 2039	 4092	 4083	 3061	 1877	 1077	 1046	 84
 2023	 1	 1624	 2038	 2041	 2040	 4093	 4083	 3063	 1878	 1078	 1047	 85
 2409	 1	 1642	 2038	 2041	 2039	 4091	 4082	 3062	 1878	 1078	 1047	 86
 2537	 1	 1655	 2038	 2041	 2040	 4092	 4082	 3063	 1879	 1079	 1047	 87
 2237	 1	 1665	 2038	 2041	 2040	 4092	 4082	 3063	 1878	 1079	 1048	 88
 1626	 1	 1672	 2038	 2041	 2041	 4092	 4082	 3062	 1877	 1079	 1047	 89
 1363	 1	 1677	 2037	 2041	 2041	 4093	 4083	 3062	 1876	 1078	 1046	 90
 1712	 1	 1675	 2037	 2042	 2041	 4092	 4081	 3063	 1876	 1078	 1047	 91
 2205	 1	 1672	 2038	 2042	 2043	 4092	 4082	 3063	 1877	 1078	 1046	 92
 2667	 1	 1654	 2035	 2040	 2042	 4091	 4081	 3063	 1877	 1078	 1047	 93
 2608	 1	 1626	 2030	 2036	 2041	 4087	 4078	 3062	 1877	 1078	 1047	 94
 2143	 1	 1607	 2029	 2035	 2042	 4087	 4079	 3061	 1877	 1078	 1046	 95
 1604	 1	 1578	 2024	 2033	 2040	 4085	 4077	 3060	 1875	 1076	 1046	 96
 1378	 1	 1557	 2023	 2032	 2039	 4083	 4074	 3058	 1874	 1075	 1045	 97
 1756	 1	 1558	 2028	 2035	 2041	 4085	 4079	 3060	 1875	 1076	 1044	 98
 2284	 1	 1552	 2030	 2035	 2040	 4084	 4078	 3060	 1875	 1076	 1044	 99
 2603	 1	 1551	 2034	 2037	 2041	 4085	 4078	 3061	 1876	 1078	 1044	 100
 2257	 1	 1558	 2038	 2040	 2042	 4088	 4081	 3062	 1877	 1079	 1045	 101
 1897	 1	 1555	 2037	 2040	 2043	 4088	 4081	 3062	 1877	 1079	 1046	 102
 1435	 1	 1547	 2038	 2039	 2042	 4088	 4083	 3062	 1876	 1079	 1047	 103
 1473	 1	 1550	 2038	 2039	 2042	 4089	 4085	 3063	 1876	 1078	 1046	 104
 2135	 1	 1550	 2037	 2039	 2042	 4089	 4085	 3064	 1877	 1078	 1046	 105
 2651	 1	 1554	 2038	 2040	 2042	 4091	 4084	 3065	 1878	 1078	 1044	 106
 2791	 1	 1574	 2038	 2041	 2043	 4091	 4085	 3066	 1879	 1079	 1045	 107
 2599	 1	 1586	 2038	 2042	 2043	 4090	 4085	 3065	 1878	 1080	 1047	 108
 1995	 1	 1602	 2038	 2041	 2042	 4090	 4084	 3065	 1878	 1080	 1048	 109
 1665	 1	 1612	 2038	 2041	 2041	 4089	 4083	 3064	 1876	 1079	 1048	 110
 1844	 1	 1620	 2038	 2041	 2042	 4089	 4082	 3064	 1877	 1079	 1048	 111
 2348	 1	 1607	 2031	 2036	 2036	 4082	 4074	 3061	 1876	 1079	 1047	 112
 2848	 1	 1585	 2026	 2034	 2035	 4080	 4072	 3060	 1875	 1078	 1046	 113
 2745	 1	 1573	 2026	 2034	 2035	 4080	 4072	 3059	 1875	 1077	 1046	 114
 2320	 1	 1563	 2026	 2033	 2035	 4080	 4072	 3058	 1875	 1076	 1047	 115
 1741	 1	 1577	 2034	 2039	 2040	 4088	 4079	 3060	 1876	 1076	 1047	 116
 1594	 1	 1583	 2038	 2041	 2041	 4091	 4082	 3061	 1876	 1077	 1046	 117
 1843	 1	 1574	 2032	 2036	 2037	 4085	 4076	 3059	 1876	 1077	 1047	 118
