rr(msec)	R1()	R2()	
706	2540	2316	3437.361779
706	2384	2379	3367.951455
695	2252	2390	3283.839826
681	2167	2342	3190.744897
666	2148	2292	3141.204864
652	2142	2207	3075.550845
636	2078	2158	2995.838447
618	2114	2153	3017.350659
600	2220	2233	3148.759915
584	2621	2410	3560.581554
570	3132	2512	4014.918181
562	3509	2587	4359.546995
559	3798	2687	4652.39433
561	3930	2748	4795.4566
565	3785	2735	4669.73768
578	3558	2748	4495.649897
609	3458	2773	4432.526706
658	3315	2731	4295.065308
728	3226	2706	4210.642706
810	3154	2682	4140.149756
888	3091	2645	4068.20673
924	3035	2594	3992.500595
917	2961	2502	3876.53518
882	2919	2412	3786.595437
852	2899	2303	3702.432984
835	2834	2215	3596.912704
832	2694	2141	3441.150534
835	2612	2108	3356.517243
834	2482	2084	3240.891853
828	2336	2055	3111.257141
818	2119	2030	2934.460939
801	2020	2002	2844.011955
776	1913	1989	2759.653964
742	1730	2015	2655.772016
711	1567	2035	2568.406899
689	1434	2064	2513.25526
676	1376	2038	2459.028263
668	1306	2001	2389.484672
660	1277	1982	2357.764407
653	1233	1956	2312.19052
647	1189	1915	2254.095384
642	1178	1896	2232.151429
638	1105	1854	2158.319022
634	1062	1829	2114.966903
630	1000	1797	2056.504072
629	953	1769	2009.370548
630	896	1743	1959.812491
632	845	1712	1909.180191
634	808	1670	1855.199181
635	767	1664	1832.262263
621	715	1629	1779.007026
591	703	1594	1742.138054
534	666	1562	1698.057714
492	643	1479	1612.727503
507	692	1439	1596.741995
546	819	1522	1728.364834
580	1204	1755	2128.295327
571	1943	1947	2750.646833
564	2597	2198	3402.295255
561	3146	2449	3986.842987
561	3500	2643	4385.82364
562	3423	2715	4368.999199
571	3368	2725	4332.32605
584	3402	2570	4263.625687
611	3354	2473	4167.138707
647	3302	2384	4072.672341
687	3210	2297	3947.190013
715	3106	2246	3832.982129
730	2962	2191	3684.280798
735	2850	2140	3564.000561
737	2762	2104	3472.097349
738	2606	2074	3330.572323
735	2536	2072	3274.825186
729	2439	2045	3182.883284
721	2331	2041	3098.264353
710	2224	2025	3007.790053
697	2140	2016	2940.043537
684	2022	1992	2838.405891
670	1949	1965	2767.639066
657	1908	1951	2728.894465
645	1820	1940	2660.075187
632	1774	1949	2635.465234
620	1697	1924	2565.459998
608	1583	1915	2484.575215
598	1506	1906	2429.171052
590	1428	1859	2344.155498
583	1356	1844	2288.90192
575	1287	1825	2233.157854
569	1211	1789	2160.333771
563	1212	1790	2161.722461
558	1172	1774	2126.184376
554	1119	1740	2068.758323
550	1100	1742	2060.233967
546	1068	1726	2029.704412
542	1020	1683	1967.965701
539	1000	1669	1945.651819
537	980	1666	1932.862126
534	955	1652	1908.174258
